Time(utc),GHI,DNI,DHI,LWD,wind_speed_avg,wind_dir_avg,air_temperature,air_pressure,relative_humidity,rain_accumulation,rain_duration,rain_intensity
2017-11-01 00:00:00,-0.4284,-0.03789141994013615,-0.268,,3.0,242.0,9.2,1008.0,85.0,0.0,0.0,0.0
2017-11-01 00:01:00,-0.4211,-0.04618640860465868,-0.2446,,3.5,240.0,9.2,1008.0,85.1,0.0,0.0,0.0
2017-11-01 00:02:00,-0.3402,-0.04855212890055192,-0.2077,,2.9,248.0,9.2,1008.0,85.1,0.0,0.0,0.0
2017-11-01 00:03:00,-0.342,-0.04263284393170926,-0.1943,,0.9,226.0,9.2,1008.0,85.1,0.0,0.0,0.0
2017-11-01 00:04:00,-0.3255,-0.04618641367598575,-0.201,,2.6,246.0,9.2,1008.0,85.1,0.0,0.0,0.0
2017-11-01 00:05:00,-0.3071,-0.027240701684939715,-0.1653,,2.5,217.0,9.2,1008.0,85.2,0.0,0.0,0.0
2017-11-01 00:06:00,-0.3126,-0.039079279010360526,-0.1988,,2.3,231.0,9.2,1008.0,85.2,0.0,0.0,0.0
2017-11-01 00:07:00,-0.3089,-0.02841857233058196,-0.1753,,1.9,226.0,9.2,1008.0,85.2,0.0,0.0,0.0
2017-11-01 00:08:00,-0.3144,-0.03671356313614882,-0.1664,,2.2,258.0,9.2,1008.0,85.2,0.0,0.0,0.0
2017-11-01 00:09:00,-0.2868,-0.030794275910084143,-0.1396,,1.8,230.0,9.2,1008.0,85.2,0.0,0.0,0.0
2017-11-01 00:10:00,-0.2648,0.003552571550727528,-0.1463,,1.6,269.0,9.2,1008.0,85.3,0.0,0.0,0.0
2017-11-01 00:11:00,-0.2629,-0.02249928776378431,-0.1519,,1.5,230.0,9.2,1008.0,85.3,0.0,0.0,0.0
2017-11-01 00:12:00,-0.2868,-0.014214279829220218,-0.1653,,2.9,246.0,9.2,1008.0,85.3,0.0,0.0,0.0
2017-11-01 00:13:00,-0.2832,-0.0071051437397629605,-0.1709,,1.8,268.0,9.2,1008.0,85.3,0.0,0.0,0.0
2017-11-01 00:14:00,-0.2924,-0.0414450098136932,-0.1597,,2.6,270.0,9.2,1008.0,85.3,0.0,0.0,0.0
2017-11-01 00:15:00,-0.2776,-0.022499291132582172,-0.1675,,3.2,238.0,9.2,1008.0,85.4,0.0,0.0,0.0
2017-11-01 00:16:00,-0.2335,-0.031972153422256185,-0.1563,,2.0,235.0,9.2,1008.0,85.4,0.0,0.0,0.0
2017-11-01 00:17:00,-0.3016,-0.041445015191814066,-0.1776,,0.8,252.0,9.2,1008.0,85.4,0.0,0.0,0.0
2017-11-01 00:18:00,-0.3071,-0.028418583677481516,-0.1843,,3.0,235.0,9.2,1008.0,85.4,0.0,0.0,0.0
2017-11-01 00:19:00,-0.3365,-0.05565929841434385,-0.2088,,2.0,221.0,9.2,1008.0,85.4,0.0,0.0,0.0
2017-11-01 00:20:00,-0.3825,-0.034347856484134645,-0.2233,,2.6,236.0,9.2,1008.0,85.5,0.0,0.0,0.0
2017-11-01 00:21:00,-0.3972,-0.040267147066840786,-0.2312,,1.9,243.0,9.2,1008.0,85.5,0.0,0.0,0.0
2017-11-01 00:22:00,-0.3953,-0.027240715008777516,-0.2278,,2.5,235.0,9.2,1007.0,85.5,0.0,0.0,0.0
2017-11-01 00:23:00,-0.4174,-0.04974000838722549,-0.239,,2.3,252.0,9.2,1007.0,85.6,0.0,0.0,0.0
2017-11-01 00:24:00,-0.3622,-0.029606435149334764,-0.2178,,3.8,233.0,9.2,1007.0,85.6,0.0,0.0,0.0
2017-11-01 00:25:00,-0.3567,-0.03907929851471315,-0.182,,2.9,246.0,9.2,1007.0,85.6,0.0,0.0,0.0
2017-11-01 00:26:00,-0.2795,-0.030794289435097173,-0.1675,,3.6,264.0,9.2,1007.0,85.6,0.0,0.0,0.0
2017-11-01 00:27:00,-0.3163,-0.047374295635508754,-0.182,,2.6,249.0,9.2,1007.0,85.7,0.0,0.0,0.0
2017-11-01 00:28:00,-0.3144,-0.04499859439284175,-0.201,,1.5,243.0,9.2,1007.0,85.7,0.0,0.0,0.0
2017-11-01 00:29:00,-0.3291,-0.056847161211481985,-0.1965,,3.3,238.0,9.2,1007.0,85.7,0.0,0.0,0.0
2017-11-01 00:30:00,-0.3641,-0.054471458951897665,-0.2032,,2.4,225.0,9.2,1007.0,85.7,0.0,0.0,0.0
2017-11-01 00:31:00,-0.3567,-0.02841859020195286,-0.2245,,2.6,249.0,9.2,1007.0,85.7,0.0,0.0,0.0
2017-11-01 00:32:00,-0.3567,-0.04974002129627546,-0.2088,,2.7,257.0,9.2,1007.0,85.7,0.0,0.0,0.0
2017-11-01 00:33:00,-0.342,-0.053293594552134914,-0.22,,2.5,237.0,9.2,1007.0,85.7,0.0,0.0,0.0
2017-11-01 00:34:00,-0.4008,-0.07105147073150553,-0.2535,,2.1,226.0,9.2,1007.0,85.8,0.0,0.0,0.0
2017-11-01 00:35:00,-0.4836,-0.1018158182392797,-0.3372,,2.7,252.0,9.2,1007.0,85.8,0.0,0.0,0.0
2017-11-01 00:36:00,-0.559,-0.12557283873472888,-0.3674,,2.6,238.0,9.2,1007.0,85.8,0.0,0.0,0.0
2017-11-01 00:37:00,-0.5902,-0.09356074487010019,-0.3953,,3.5,237.0,9.2,1007.0,85.8,0.0,0.0,0.0
2017-11-01 00:38:00,-0.5774,-0.09592646231482013,-0.4255,,3.2,235.0,9.2,1007.0,85.8,0.0,0.0,0.0
2017-11-01 00:39:00,-0.5921,-0.10660713809254815,-0.4098,,4.0,239.0,9.2,1007.0,85.8,0.0,0.0,0.0
2017-11-01 00:40:00,-0.6675,-0.1492300249772132,-0.4824,,2.4,247.0,9.2,1007.0,85.8,0.0,0.0,0.0
2017-11-01 00:41:00,-0.8164,-0.24635429334893016,-0.6767,,2.4,251.0,9.2,1007.0,85.8,0.0,0.0,0.0
2017-11-01 00:42:00,-1.015,-0.27240711745795626,-0.7783,,2.2,228.0,9.2,1007.0,85.8,0.0,0.0,0.0
2017-11-01 00:43:00,-1.052,-0.27360491464300263,-0.8398,,2.0,241.0,9.2,1007.0,85.8,0.0,0.0,0.0
2017-11-01 00:44:00,-0.9764,-0.2048293490032177,-0.7203,,4.1,259.0,9.2,1007.0,85.8,0.0,0.0,0.0
2017-11-01 00:45:00,-0.7815,-0.1752828169785365,-0.584,,2.9,239.0,9.2,1007.0,85.9,0.0,0.0,0.0
2017-11-01 00:46:00,-0.695,-0.16220648088458012,-0.4735,,2.2,258.0,9.2,1007.0,85.9,0.0,0.0,0.0
2017-11-01 00:47:00,-0.6013,-0.11249643095839491,-0.3808,,2.6,237.0,9.2,1007.0,85.9,0.0,0.0,0.0
2017-11-01 00:48:00,-0.5277,-0.09947998698435233,-0.3439,,1.8,246.0,9.2,1007.0,86.0,0.0,0.0,0.0
2017-11-01 00:49:00,-0.5167,-0.09710428687976247,-0.3171,,4.0,252.0,9.2,1007.0,86.0,0.0,0.0,0.0
2017-11-01 00:50:00,-0.4431,-0.07460500224843146,-0.2546,,2.9,266.0,9.2,1007.0,86.0,0.0,0.0,0.0
2017-11-01 00:51:00,-0.3714,-0.04973999647118532,-0.2099,,2.7,236.0,9.2,1007.0,86.0,0.0,0.0,0.0
2017-11-01 00:52:00,-0.3659,-0.05329356848543971,-0.2088,,3.8,230.0,9.2,1007.0,86.1,0.0,0.0,0.0
2017-11-01 00:53:00,-0.3255,-0.047374281448889194,-0.1921,,2.4,238.0,9.2,1007.0,86.1,0.0,0.0,0.0
2017-11-01 00:54:00,-0.2905,-0.03671357229796268,-0.1764,,2.9,245.0,9.2,1007.0,86.1,0.0,0.0,0.0
2017-11-01 00:55:00,-0.3016,-0.018945721695194102,-0.1329,,3.1,241.0,9.2,1007.0,86.1,0.0,0.0,0.0
2017-11-01 00:56:00,-0.2832,-0.022499293827621194,-0.134,,2.7,238.0,9.2,1007.0,86.1,0.0,0.0,0.0
2017-11-01 00:57:00,-0.2317,-0.007105145583764221,-0.115,,1.9,253.0,9.2,1007.0,86.1,0.0,0.0,0.0
2017-11-01 00:58:00,-0.2537,-0.03316000956349848,-0.1429,,2.6,229.0,9.3,1007.0,86.1,0.0,0.0,0.0
2017-11-01 00:59:00,-0.2482,-0.02841858906726198,-0.1139,,1.5,237.0,9.2,1007.0,86.1,0.0,0.0,0.0
2017-11-01 01:00:00,-0.228,-0.0035525733592673514,-0.1039,,1.9,232.0,9.3,1007.0,86.1,0.0,0.0,0.0
2017-11-01 01:01:00,-0.2482,-0.026052871397756316,-0.1072,,1.9,248.0,9.3,1007.0,86.1,0.0,0.0,0.0
2017-11-01 01:02:00,-0.2666,-0.0035525736074984516,-0.1262,,1.9,216.0,9.2,1007.0,86.1,0.0,0.0,0.0
2017-11-01 01:03:00,-0.2574,-0.008290004128631677,-0.1273,,1.8,223.0,9.3,1007.0,86.2,0.0,0.0,0.0
2017-11-01 01:04:00,-0.2813,-0.023687152783073755,-0.1184,,2.6,234.0,9.3,1007.0,86.2,0.0,0.0,0.0
2017-11-01 01:05:00,-0.2593,0.00355257389119118,-0.1251,,1.9,231.0,9.3,1007.0,86.2,0.0,0.0,0.0
2017-11-01 01:06:00,-0.2685,-0.01183858577412248,-0.1463,,3.3,255.0,9.3,1007.0,86.2,0.0,0.0,0.0
2017-11-01 01:07:00,-0.2629,-0.002368715420173682,-0.134,,4.0,248.0,9.3,1007.0,86.2,0.0,0.0,0.0
2017-11-01 01:08:00,-0.2372,-0.007105148349767908,-0.1128,,2.6,248.0,9.3,1007.0,86.2,0.0,0.0,0.0
2017-11-01 01:09:00,-0.2041,0.01183858695584362,-0.08264,,3.7,264.0,9.3,1007.0,86.2,0.0,0.0,0.0
2017-11-01 01:10:00,-0.1636,0.018945732663873525,-0.0871,,3.7,246.0,9.3,1007.0,86.2,0.0,0.0,0.0
