Time(utc),GHI,DNI,DHI,LWD,wind_speed_avg,wind_dir_avg,air_temperature,air_pressure,relative_humidity,rain_accumulation,rain_duration,rain_intensity
2018-03-01 00:00:00,-0.6638,0.00829775174789318,-0.5516,,2.3,80.0,-7.4,1026.0,64.0,0.0,0.0,0.0
2018-03-01 00:01:00,-0.5884,0.05452217532868869,-0.4478,,6.1,76.0,-7.4,1026.0,63.3,0.0,0.0,0.0
2018-03-01 00:02:00,-0.559,0.013038513851607566,-0.45,,4.8,64.0,-7.3,1026.0,63.4,0.0,0.0,0.0
2018-03-01 00:03:00,-0.5645,0.02963381141549967,-0.4735,,3.8,72.0,-7.3,1026.0,63.7,0.0,0.0,0.0
2018-03-01 00:04:00,-0.5994,0.03437953560590889,-0.498,,3.0,64.0,-7.3,1026.0,63.9,0.0,0.0,0.0
2018-03-01 00:05:00,-0.5921,0.06163521984930234,-0.4735,,5.4,74.0,-7.3,1026.0,63.4,0.0,0.0,0.0
2018-03-01 00:06:00,-0.5976,0.033190408095949815,-0.431,,3.7,70.0,-7.3,1026.0,63.5,0.0,0.0,0.0
2018-03-01 00:07:00,-0.5498,0.03200139203557588,-0.4489,,4.6,58.0,-7.3,1026.0,63.5,0.0,0.0,0.0
2018-03-01 00:08:00,-0.5277,0.030822364051943746,-0.3774,,7.3,72.0,-7.3,1026.0,63.3,0.0,0.0,0.0
2018-03-01 00:09:00,-0.5075,0.023708689207618844,-0.3998,,4.5,25.0,-7.3,1026.0,63.4,0.0,0.0,0.0
2018-03-01 00:10:00,-0.5167,0.007111594728859611,-0.4143,,3.7,64.0,-7.3,1026.0,63.6,0.0,0.0,0.0
2018-03-01 00:11:00,-0.502,0.015406095998361478,-0.3953,,6.2,78.0,-7.3,1026.0,63.4,0.0,0.0,0.0
2018-03-01 00:12:00,-0.5296,0.0035557859251023004,-0.3886,,7.3,83.0,-7.3,1026.0,63.1,0.0,0.0,0.0
2018-03-01 00:13:00,-0.4854,0.0035557789620694197,-0.3763,,6.6,65.0,-7.2,1026.0,63.0,0.0,10.0,0.0
2018-03-01 00:14:00,-0.5057,-0.015406016267154628,-0.4065,,5.4,67.0,-7.2,1026.0,63.3,0.0,0.0,0.0
2018-03-01 00:15:00,-0.513,-0.01778383307302997,-0.4087,,4.5,83.0,-7.2,1026.0,63.7,0.0,0.0,0.0
2018-03-01 00:16:00,-0.5479,-0.0023708407330939275,-0.4109,,6.3,84.0,-7.2,1026.0,63.4,0.0,0.0,0.0
2018-03-01 00:17:00,-0.5093,-0.00829743025437893,-0.3953,,5.4,74.0,-7.2,1026.0,63.4,0.0,10.0,0.0
2018-03-01 00:18:00,-0.513,-0.028444006728890872,-0.4232,,4.9,75.0,-7.2,1026.0,63.5,0.0,0.0,0.0
2018-03-01 00:19:00,-0.5204,0.026076130431725412,-0.3864,,4.0,70.0,-7.2,1026.0,63.3,0.0,0.0,0.0
