Time(utc),GHI,DNI,DHI,LWD,wind_speed_avg,wind_dir_avg,air_temperature,air_pressure,relative_humidity,rain_accumulation,rain_duration,rain_intensity
2016-12-01 00:00:00,-0.3181,0.07934389298170777,-0.3026,,3.7,288.0,6.1,1007.0,87.7,0.0,0.0,0.0
2016-12-01 00:01:00,-0.3273,0.08762863887180868,-0.3238,,2.7,301.0,6.1,1007.0,87.7,0.0,0.0,0.0
2016-12-01 00:02:00,-0.3255,0.08645081206818202,-0.3205,,3.5,326.0,6.1,1007.0,87.7,0.0,0.0,0.0
2016-12-01 00:03:00,-0.3273,0.07579044402380122,-0.3227,,2.5,270.0,6.1,1007.0,87.8,0.0,0.0,0.0
2016-12-01 00:04:00,-0.3107,0.08053171534190665,-0.3451,,2.1,302.0,6.1,1007.0,87.8,0.0,0.0,0.0
2016-12-01 00:05:00,-0.3144,0.10301032605652884,-0.3328,,1.4,246.0,6.1,1007.0,87.8,0.0,0.0,0.0
2016-12-01 00:06:00,-0.3475,0.10780150508868022,-0.325,,3.8,299.0,6.1,1007.0,87.8,0.0,0.0,0.0
2016-12-01 00:07:00,-0.3383,0.1361493137146298,-0.3116,,4.1,264.0,6.1,1007.0,87.8,0.0,0.0,0.0
2016-12-01 00:08:00,-0.3052,0.1243710043756135,-0.3317,,2.9,283.0,6.1,1007.0,87.8,0.0,0.0,0.0
2016-12-01 00:09:00,-0.3402,0.14333609245329684,-0.3227,,2.4,292.0,6.1,1007.0,87.8,0.0,0.0,0.0
2016-12-01 00:10:00,-0.3402,0.12786458467721323,-0.3272,,4.7,301.0,6.1,1007.0,87.8,0.0,0.0,0.0
2016-12-01 00:11:00,-0.3052,0.13734713156953862,-0.3149,,1.6,317.0,6.1,1007.0,87.9,0.0,0.0,0.0
2016-12-01 00:12:00,-0.3199,0.15870780940042525,-0.3395,,2.7,276.0,6.1,1007.0,87.9,0.0,0.0,0.0
2016-12-01 00:13:00,-0.3236,0.14333611248347344,-0.3171,,3.9,281.0,6.1,1007.0,87.9,0.0,0.0,0.0
2016-12-01 00:14:00,-0.2979,0.15271884308269634,-0.3026,,3.0,287.0,6.1,1007.0,87.9,0.0,0.0,0.0
2016-12-01 00:15:00,-0.2758,0.17168393673981944,-0.3104,,3.5,289.0,6.1,1007.0,87.9,0.0,0.0,0.0
2016-12-01 00:16:00,-0.2887,0.1611034247054597,-0.3205,,3.5,318.0,6.1,1007.0,87.9,0.0,0.0,0.0
2016-12-01 00:17:00,-0.3163,0.1622014082935147,-0.3238,,3.9,283.0,6.1,1007.0,87.9,0.0,0.0,0.0
2016-12-01 00:18:00,-0.2556,0.17877091135554027,-0.2814,,4.4,289.0,6.1,1007.0,88.0,0.0,0.0,0.0
2016-12-01 00:19:00,-0.2629,0.1599056456874186,-0.2859,,3.3,314.0,6.1,1007.0,88.0,0.0,0.0,0.0
2016-12-01 00:20:00,-0.285,0.14682972318704346,-0.3205,,2.5,255.0,6.2,1007.0,88.0,0.0,0.0,0.0
2016-12-01 00:21:00,-0.2795,0.1681904135876134,-0.2825,,3.4,314.0,6.2,1007.0,88.0,0.0,0.0,0.0
2016-12-01 00:22:00,-0.2409,0.16579482312701832,-0.2892,,3.3,285.0,6.2,1007.0,88.0,0.0,0.0,0.0
2016-12-01 00:23:00,-0.2685,0.159905669629197,-0.3104,,1.9,284.0,6.2,1007.0,88.0,0.0,0.0,0.0
2016-12-01 00:24:00,-0.3126,0.1480275345987162,-0.2948,,4.4,291.0,6.2,1007.0,88.1,0.0,0.0,0.0
2016-12-01 00:25:00,-0.2556,0.1871555234151573,-0.2736,,4.1,274.0,6.2,1007.0,88.1,0.0,0.0,0.0
2016-12-01 00:26:00,-0.2574,0.1776729875362499,-0.2892,,3.0,313.0,6.2,1007.0,88.1,0.0,0.0,0.0
2016-12-01 00:27:00,-0.285,0.150423147700888,-0.2848,,2.8,324.0,6.2,1007.0,88.1,0.0,0.0,0.0
2016-12-01 00:28:00,-0.3016,0.1563123165601101,-0.2937,,2.8,299.0,6.2,1007.0,88.1,0.0,0.0,0.0
2016-12-01 00:29:00,-0.2832,0.1645970771851193,-0.2948,,4.6,273.0,6.2,1007.0,88.1,0.0,0.0,0.0
2016-12-01 00:30:00,-0.2593,0.17647522558334997,-0.2915,,3.7,293.0,6.2,1007.0,88.1,0.0,0.0,0.0
2016-12-01 00:31:00,-0.3089,0.146829792070249,-0.3216,,3.0,269.0,6.2,1007.0,88.1,0.0,0.0,0.0
2016-12-01 00:32:00,-0.3163,0.15511455509342598,-0.3093,,4.2,275.0,6.2,1007.0,88.1,0.0,0.0,0.0
2016-12-01 00:33:00,-0.3126,0.14213844394237943,-0.3093,,3.1,280.0,6.2,1007.0,88.0,0.0,0.0,0.0
2016-12-01 00:34:00,-0.3016,0.13385370249472459,-0.325,,3.0,280.0,6.2,1007.0,88.0,0.0,0.0,0.0
2016-12-01 00:35:00,-0.3016,0.12906253139535911,-0.3216,,3.0,294.0,6.2,1007.0,88.0,0.0,0.0,0.0
2016-12-01 00:36:00,-0.3236,0.11608641724436877,-0.3283,,4.4,297.0,6.2,1007.0,88.0,0.0,0.0,0.0
2016-12-01 00:37:00,-0.342,0.08289748520671669,-0.3719,,2.1,292.0,6.2,1007.0,87.9,0.0,0.0,0.0
2016-12-01 00:38:00,-0.3604,0.07697838133229534,-0.3607,,2.2,273.0,6.2,1007.0,87.9,0.0,0.0,0.0
2016-12-01 00:39:00,-0.3806,0.06276453459628462,-0.3819,,1.3,316.0,6.2,1007.0,87.9,0.0,0.0,0.0
2016-12-01 00:40:00,-0.3641,0.08170968441326282,-0.3719,,3.6,297.0,6.2,1007.0,87.9,0.0,0.0,0.0
2016-12-01 00:41:00,-0.3383,0.07223711477078111,-0.3428,,3.3,301.0,6.2,1007.0,87.9,0.0,0.0,0.0
2016-12-01 00:42:00,-0.3255,0.05565761781203476,-0.3551,,4.9,304.0,6.2,1007.0,87.9,0.0,0.0,0.0
2016-12-01 00:43:00,-0.3586,0.034346822111939075,-0.3562,,2.4,301.0,6.2,1007.0,87.9,0.0,0.0,0.0
2016-12-01 00:44:00,-0.3494,0.016579504322928578,-0.3864,,3.7,286.0,6.2,1007.0,87.9,0.0,0.0,0.0
2016-12-01 00:45:00,-0.342,0.02841773126688082,-0.3875,,4.3,281.0,6.2,1007.0,87.8,0.0,0.0,0.0
2016-12-01 00:46:00,-0.3475,-0.008289753485389672,-0.392,,4.5,271.0,6.2,1007.0,87.8,0.0,0.0,0.0
2016-12-01 00:47:00,-0.3494,0.014213859433254894,-0.3551,,5.7,301.0,6.2,1007.0,87.7,0.0,0.0,0.0
2016-12-01 00:48:00,-0.3181,0.02960555538364947,-0.3618,,3.7,297.0,6.3,1006.0,87.7,0.0,0.0,0.0
2016-12-01 00:49:00,-0.3438,0.02249862749887859,-0.3596,,4.3,283.0,6.3,1006.0,87.6,0.0,0.0,0.0
2016-12-01 00:50:00,-0.342,0.008289756546968736,-0.4098,,2.8,278.0,6.3,1006.0,87.6,0.0,0.0,0.0
2016-12-01 00:51:00,-0.3696,0.0307933780602242,-0.4042,,5.6,280.0,6.3,1006.0,87.6,0.0,0.0,0.0
2016-12-01 00:52:00,-0.3126,0.044997263531544554,-0.3886,,3.1,281.0,6.3,1006.0,87.5,0.0,0.0,0.0
2016-12-01 00:53:00,-0.3457,0.023686449147140107,-0.4243,,2.3,283.0,6.3,1006.0,87.5,0.0,0.0,0.0
2016-12-01 00:54:00,-0.3438,0.024864284030096585,-0.4333,,2.8,300.0,6.3,1006.0,87.5,0.0,0.0,0.0
2016-12-01 00:55:00,-0.3935,0.035524683606227916,-0.4523,,1.9,295.0,6.3,1006.0,87.4,0.0,0.0,0.0
2016-12-01 00:56:00,-0.3769,0.036712499297416795,-0.4456,,3.4,262.0,6.3,1006.0,87.4,0.0,0.0,0.0
2016-12-01 00:57:00,-0.3733,0.04499726757386601,-0.44,,1.0,291.0,6.3,1006.0,87.4,0.0,0.0,0.0
2016-12-01 00:58:00,-0.3733,0.030793382670753898,-0.4523,,2.4,313.0,6.3,1006.0,87.4,0.0,0.0,0.0
2016-12-01 00:59:00,-0.3861,0.034346850224645474,-0.4355,,3.9,310.0,6.3,1006.0,87.4,0.0,0.0,0.0
2016-12-01 01:00:00,-0.3935,0.024864285271029244,-0.4467,,3.3,277.0,6.3,1006.0,87.4,0.0,0.0,0.0
2016-12-01 01:01:00,-0.4395,-0.007104936792164558,-0.5003,,1.6,284.0,6.3,1006.0,87.4,0.0,0.0,0.0
2016-12-01 01:02:00,-0.4266,0.02132079936507937,-0.4813,,5.1,294.0,6.3,1006.0,87.4,0.0,0.0,0.0
