Time(utc),GHI,DNI,DHI,LWD,wind_speed_avg,wind_dir_avg,air_temperature,air_pressure,relative_humidity,rain_accumulation,rain_duration,rain_intensity
2016-10-01 00:00:00,-3.339,-0.6430494559134796,-2.618,,2.4,214.0,10.7,1004.0,82.3,0.0,0.0,0.0
2016-10-01 00:01:00,-3.119,-0.6205885259500235,-2.494,,2.2,188.0,10.7,1004.0,82.5,0.0,0.0,0.0
2016-10-01 00:02:00,-2.982,-0.6395545577870034,-2.382,,2.2,216.0,10.7,1004.0,82.5,0.0,0.0,0.0
2016-10-01 00:03:00,-2.946,-0.5957319717210984,-2.332,,1.7,222.0,10.7,1004.0,82.7,0.0,0.0,0.0
2016-10-01 00:04:00,-2.914,-0.6075108545399808,-2.408,,2.3,215.0,10.7,1004.0,82.7,0.0,0.0,0.0
2016-10-01 00:05:00,-3.017,-0.6028170993627049,-2.446,,2.8,203.0,10.7,1004.0,82.9,0.0,0.0,0.0
2016-10-01 00:06:00,-3.039,-0.6157926815999469,-2.425,,2.8,210.0,10.7,1004.0,83.0,0.0,0.0,0.0
2016-10-01 00:07:00,-3.045,-0.6205829506887602,-2.443,,2.3,204.0,10.7,1004.0,83.1,0.0,0.0,0.0
2016-10-01 00:08:00,-3.049,-0.605110752237113,-2.384,,1.2,197.0,10.7,1004.0,83.1,0.0,0.0,0.0
2016-10-01 00:09:00,-3.095,-0.6157914583745487,-2.422,,1.7,208.0,10.7,1004.0,83.1,0.0,0.0,0.0
2016-10-01 00:10:00,-3.102,-0.6406466502420358,-2.422,,0.9,192.0,10.7,1004.0,83.2,0.0,0.0,0.0
2016-10-01 00:11:00,-3.139,-0.6478336079805116,-2.438,,1.3,206.0,10.6,1004.0,83.3,0.0,0.0,0.0
2016-10-01 00:12:00,-3.144,-0.6347570564441667,-2.457,,1.0,235.0,10.6,1004.0,83.4,0.0,0.0,0.0
2016-10-01 00:13:00,-3.177,-0.6442398721654007,-2.484,,2.6,204.0,10.6,1004.0,83.4,0.0,0.0,0.0
2016-10-01 00:14:00,-3.198,-0.6347568410147428,-2.468,,2.1,198.0,10.6,1004.0,83.7,0.0,0.0,0.0
2016-10-01 00:15:00,-3.12,-0.6466353450799764,-2.509,,1.7,195.0,10.6,1004.0,83.8,0.0,0.0,0.0
2016-10-01 00:16:00,-3.124,-0.6466352288948962,-2.515,,1.8,209.0,10.5,1004.0,83.9,0.0,0.0,0.0
2016-10-01 00:17:00,-3.076,-0.641843731354839,-2.532,,2.3,219.0,10.5,1004.0,84.1,0.0,0.0,0.0
2016-10-01 00:18:00,-3.016,-0.6288670143209888,-2.453,,1.6,216.0,10.5,1004.0,84.2,0.0,0.0,0.0
2016-10-01 00:19:00,-2.99,-0.640645697395347,-2.454,,1.7,210.0,10.5,1004.0,84.3,0.0,0.0,0.0
2016-10-01 00:20:00,-2.99,-0.6702921804113513,-2.465,,1.3,200.0,10.5,1004.0,84.4,0.0,0.0,0.0
